Diet;Line;Line 1;Line 2;Line 3;Density;SP;Prediction.OUT;Validation.OUT;FK
BK27943M;3;0;0;1;416;8000;;30;BK27943M_3_8000
BK32324M;3;0;0;1;416;8000;;30;BK32324M_3_8000
BK29478M;3;0;0;1;344;6500;;32;BK29478M_3_6500
BK32937M;3;0;0;1;344;6500;;32;BK32937M_3_6500
BK35051M;3;0;0;1;344;6500;;32;BK35051M_3_6500
BK35052M;3;0;0;1;344;6500;;32;BK35052M_3_6500
BK8692M;3;0;0;1;344;7000;;32;BK8692M_3_7000
BK8695M;3;0;0;1;320;7000;;32;BK8695M_3_7000
BK28450M;3;0;0;1;344;7000;;32;BK28450M_3_7000
BK8692M;3;0;0;1;344;7000;;32;BK8692M_3_7000
BK8694M;3;0;0;1;320;7000;;32;BK8694M_3_7000
BK8694M;3;0;0;1;320;7000;;32;BK8694M_3_7000
BK8695M;3;0;0;1;320;7000;;32;BK8695M_3_7000
BK26251M;3;0;0;1;344;7700;;34;BK26251M_3_7700
BK5825M;3;0;0;1;344;7700;;34;BK5825M_3_7700
BK5825M;3;0;0;1;344;7700;;34;BK5825M_3_7700
BK5825M;3;0;0;1;344;7700;;34;BK5825M_3_7700
BK5835M;3;0;0;1;376;7700;;34;BK5835M_3_7700
BK5836M;3;0;0;1;376;7700;;34;BK5836M_3_7700
BK5836M;3;0;0;1;376;7700;;34;BK5836M_3_7700
BK4004M;3;0;0;1;320;6500;;35;BK4004M_3_6500
BK4004M;3;0;0;1;320;6500;;35;BK4004M_3_6500
BK4050M;3;0;0;1;320;8000;;35;BK4050M_3_8000
BK27944M;3;0;0;1;432;7000;;35;BK27944M_3_7000
BK4005M;3;0;0;1;320;6500;;35;BK4005M_3_6500
BK4005M;3;0;0;1;320;6500;;35;BK4005M_3_6500
BK8931M;3;0;0;1;344;7000;;38;BK8931M_3_7000
BK24078M;3;0;0;1;344;7000;;38;BK24078M_3_7000
BK28083M;3;0;0;1;344;7000;;38;BK28083M_3_7000
BK28084M;3;0;0;1;344;7000;;38;BK28084M_3_7000
BK28320M;3;0;0;1;384;7000;;38;BK28320M_3_7000
BK28692M;3;0;0;1;344;7000;;38;BK28692M_3_7000
BK32439M;3;0;0;1;344;7000;;38;BK32439M_3_7000
BK32439M;3;0;0;1;344;7000;;38;BK32439M_3_7000
BK32439M;3;0;0;1;344;7000;;38;BK32439M_3_7000
BK9920M;3;0;0;1;344;7000;;38;BK9920M_3_7000
BK5148M;3;0;0;1;528;9300;;39;BK5148M_3_9300
BK9545M;3;0;0;1;344;6500;;39;BK9545M_3_6500
BK9555M;3;0;0;1;344;6500;;39;BK9555M_3_6500
BK27895M;3;0;0;1;344;6500;;39;BK27895M_3_6500
BK27895M;3;0;0;1;344;6500;;39;BK27895M_3_6500
BK27895M;3;0;0;1;344;6500;;39;BK27895M_3_6500
BK28325M;3;0;0;1;440;7000;;39;BK28325M_3_7000
BK28325M;3;0;0;1;440;7000;;39;BK28325M_3_7000
BK4836M;3;0;0;1;440;7000;;39;BK4836M_3_7000
BK6030M;3;0;0;1;456;7000;;40;BK6030M_3_7000
BK6060M;3;0;0;1;344;6500;;40;BK6060M_3_6500
BK7102M;3;0;0;1;432;6500;;40;BK7102M_3_6500
BK9020M;3;0;0;1;344;6500;;40;BK9020M_3_6500
BK9020M;3;0;0;1;344;6500;;40;BK9020M_3_6500
BK9550M;3;0;0;1;416;6500;;40;BK9550M_3_6500
BK1000M;3;0;0;1;320;7000;;40;BK1000M_3_7000
BK27180M;3;0;0;1;416;6500;;40;BK27180M_3_6500
BK29405M;3;0;0;1;456;7000;;40;BK29405M_3_7000
BK31670M;3;0;0;1;416;6500;;40;BK31670M_3_6500
BK32359M;3;0;0;1;416;6500;;40;BK32359M_3_6500
BK32359M;3;0;0;1;416;6500;;40;BK32359M_3_6500
BK4836M;3;0;0;1;440;6500;;40;BK4836M_3_6500
BK4836M;3;0;0;1;440;7000;;40;BK4836M_3_7000
BK6040M;3;0;0;1;456;7000;;40;BK6040M_3_7000
BK6050M;3;0;0;1;456;7000;;40;BK6050M_3_7000
BK6135M;3;0;0;1;432;6000;;40;BK6135M_3_6000
BK7102M;3;0;0;1;432;6500;;40;BK7102M_3_6500
BK7970M;3;0;0;1;344;6000;;40;BK7970M_3_6000
BK9550M;3;0;0;1;416;6500;;40;BK9550M_3_6500
BK9550M;3;0;0;1;416;6500;;40;BK9550M_3_6500
BK9550M;3;0;0;1;416;6500;;40;BK9550M_3_6500
BK31582M;3;0;0;1;432;6000;;42;BK31582M_3_6000
BK34889M;3;0;0;1;432;6000;;42;BK34889M_3_6000
BK6135M;3;0;0;1;432;6000;;42;BK6135M_3_6000
BK27209M;3;0;0;1;320;6500;;43;BK27209M_3_6500
BK27994M;3;0;0;1;344;5500;;43;BK27994M_3_5500
BK32359M;3;0;0;1;416;7000;;43;BK32359M_3_7000
BK4005M;3;0;0;1;320;6500;;43;BK4005M_3_6500
BK8693M;3;0;0;1;344;7000;;43;BK8693M_3_7000
BK8693M;3;0;0;1;344;7000;;43;BK8693M_3_7000
BK30965M;3;0;0;1;376;7000;;44;BK30965M_3_7000
BK32348M;3;0;0;1;376;7000;;44;BK32348M_3_7000
BK27208M;3;0;0;1;320;6500;;44;BK27208M_3_6500
BK4004M;3;0;0;1;320;6500;;44;BK4004M_3_6500
BK27211M;3;0;0;1;456;10000;;45;BK27211M_3_10000
BK29154M;3;0;0;1;432;7000;;45;BK29154M_3_7000
BK31777M;3;0;0;1;456;8000;;45;BK31777M_3_8000
BK5790M;3;0;0;1;384;7000;;45;BK5790M_3_7000
BK6020M;3;0;0;1;384;6000;;45;BK6020M_3_6000
BK6400M;3;0;0;1;376;7800;;45;BK6400M_3_7800
BK6400M;3;0;0;1;376;7800;;45;BK6400M_3_7800
BK7125M;3;0;0;1;432;7500;;45;BK7125M_3_7500
BK8696M;3;0;0;1;344;7000;;45;BK8696M_3_7000
BK9010M;3;0;0;1;344;7000;;45;BK9010M_3_7000
BK9900M;3;0;0;1;376;7200;;45;BK9900M_3_7200
BK9900M;3;0;0;1;376;7200;;45;BK9900M_3_7200
BK24483M;3;0;0;1;344;7000;;45;BK24483M_3_7000
BK26804M;3;0;0;1;344;7000;;45;BK26804M_3_7000
BK28451M;3;0;0;1;344;7000;;45;BK28451M_3_7000
BK29251M;3;0;0;1;432;7000;;45;BK29251M_3_7000
BK29806M;3;0;0;1;360;7000;;45;BK29806M_3_7000
BK29807M;3;0;0;1;360;7000;;45;BK29807M_3_7000
BK29808M;3;0;0;1;360;7000;;45;BK29808M_3_7000
BK31777M;3;0;0;1;456;8000;;45;BK31777M_3_8000
BK31777M;3;0;0;1;456;8000;;45;BK31777M_3_8000
BK32326M;3;0;0;1;432;7000;;45;BK32326M_3_7000
BK32938M;3;0;0;1;344;7000;;45;BK32938M_3_7000
BK32938M;3;0;0;1;344;7000;;45;BK32938M_3_7000
BK6010M;3;0;0;1;456;8000;;45;BK6010M_3_8000
BK6010M;3;0;0;1;456;8000;;45;BK6010M_3_8000
BK6020M;3;0;0;1;384;6000;;45;BK6020M_3_6000
BK7967M;3;0;0;1;384;7000;;45;BK7967M_3_7000
BK8696M;3;0;0;1;344;7000;;45;BK8696M_3_7000
BK9000M;3;0;0;1;344;7000;;45;BK9000M_3_7000
BK9000M;3;0;0;1;344;7000;;45;BK9000M_3_7000
BK9010M;3;0;0;1;344;7000;;45;BK9010M_3_7000
BK9500M;3;0;0;1;344;7000;;45;BK9500M_3_7000
BK9500M;3;0;0;1;344;7000;;45;BK9500M_3_7000
BK9500M;3;0;0;1;344;7000;;45;BK9500M_3_7000
BK9520M;3;0;0;1;384;7700;;45;BK9520M_3_7700
BK9520M;3;0;0;1;384;7700;;45;BK9520M_3_7700
BK9520M;3;0;0;1;384;7700;;45;BK9520M_3_7700
BK9530M;3;0;0;1;384;7000;;45;BK9530M_3_7000
BK9530M;3;0;0;1;384;7000;;45;BK9530M_3_7000
BK9530M;3;0;0;1;384;7000;;45;BK9530M_3_7000
BK9930M;3;0;0;1;344;7000;;45;BK9930M_3_7000
BK9930M;3;0;0;1;344;7000;;45;BK9930M_3_7000
BK24892M;3;0;0;1;320;7000;;46;BK24892M_3_7000
BK25239M;3;0;0;1;344;6500;;46;BK25239M_3_6500
BK25241M;3;0;0;1;344;7000;;46;BK25241M_3_7000
BK8931M;3;0;0;1;344;7000;;46;BK8931M_3_7000
BK27895M;3;0;0;1;344;6500;;47;BK27895M_3_6500
BK8695M;3;0;0;1;320;7000;;47;BK8695M_3_7000
BK25236M;3;0;0;1;320;7000;;47;BK25236M_3_7000
BK33860M;3;0;0;1;320;7000;;47;BK33860M_3_7000
BK33860M;3;0;0;1;320;7000;;47;BK33860M_3_7000
BK33860M;3;0;0;1;320;7000;;47;BK33860M_3_7000
BK24483M;3;0;0;1;344;7000;;48;BK24483M_3_7000
BK25834M;3;0;0;1;376;7800;;48;BK25834M_3_7800
BK27177M;3;0;0;1;376;7700;;48;BK27177M_3_7700
BK28449M;3;0;0;1;320;7000;;48;BK28449M_3_7000
BK29808M;3;0;0;1;360;7000;;48;BK29808M_3_7000
BK30965M;3;0;0;1;376;7700;;48;BK30965M_3_7700
BK30965M;3;0;0;1;376;7700;;48;BK30965M_3_7700
BK31601M;3;0;0;1;376;7700;;48;BK31601M_3_7700
BK32347M;3;0;0;1;376;7700;;48;BK32347M_3_7700
BK32348M;3;0;0;1;376;7700;;48;BK32348M_3_7700
BK33737M;3;0;0;1;376;7800;;48;BK33737M_3_7800
BK5836M;3;0;0;1;376;7700;;48;BK5836M_3_7700
BK8692M;3;0;0;1;344;7000;;48;BK8692M_3_7000
BK8694M;3;0;0;1;320;7000;;48;BK8694M_3_7000
BK8800M;3;0;0;1;376;7800;;48;BK8800M_3_7800
BK8800M;3;0;0;1;376;7800;;48;BK8800M_3_7800
BK8900M;3;0;0;1;376;7800;;48;BK8900M_3_7800
BK8900M;3;0;0;1;376;7800;;48;BK8900M_3_7800
BK9520M;3;0;0;1;384;7700;;48;BK9520M_3_7700
BK29808M;3;0;0;1;360;7000;;48;BK29808M_3_7000
BK8900M;3;0;0;1;376;7800;;48;BK8900M_3_7800
BK8900M;3;0;0;1;376;7800;;48;BK8900M_3_7800
BK24537M;3;0;0;1;384;7000;;49;BK24537M_3_7000
BK26702M;3;0;0;1;344;6500;;49;BK26702M_3_6500
BK26702M;3;0;0;1;344;6500;;49;BK26702M_3_6500
BK34328M;3;0;0;1;384;7000;;49;BK34328M_3_7000
BK7967M;3;0;0;1;384;7000;;49;BK7967M_3_7000
BK8696M;3;0;0;1;344;7000;;49;BK8696M_3_7000
BK9555M;3;0;0;1;344;6500;;49;BK9555M_3_6500
BK27994M;3;0;0;1;344;6000;;49;BK27994M_3_6000
BK27994M;3;0;0;1;344;6000;;49;BK27994M_3_6000
BK24078M;3;0;0;1;344;7000;;50;BK24078M_3_7000
BK25232M;3;0;0;1;344;7000;;50;BK25232M_3_7000
BK25237M;3;0;0;1;344;7000;;50;BK25237M_3_7000
BK25240M;3;0;0;1;344;7000;;50;BK25240M_3_7000
BK29942M;3;0;0;1;344;7700;;50;BK29942M_3_7700
BK33859M;3;0;0;1;344;7000;;50;BK33859M_3_7000
BK33859M;3;0;0;1;344;7000;;50;BK33859M_3_7000
BK33859M;3;0;0;1;344;7000;;50;BK33859M_3_7000
BK34285M;3;0;0;1;432;7200;;50;BK34285M_3_7200
BK34285M;3;0;0;1;432;7200;;50;BK34285M_3_7200
BK8693M;3;0;0;1;344;7000;;50;BK8693M_3_7000
BK9910M;3;0;0;1;344;7000;;50;BK9910M_3_7000
BK23678M;3;0;0;1;376;8600;;50;BK23678M_3_8600
BK23678M;3;0;0;1;376;8600;;50;BK23678M_3_8600
BK25036M;3;0;0;1;400;9500;;50;BK25036M_3_9500
BK25534M;3;0;0;1;344;7000;;50;BK25534M_3_7000
BK28229M;3;0;0;1;344;7000;;50;BK28229M_3_7000
BK28229M;3;0;0;1;344;7000;;50;BK28229M_3_7000
BK29092M;3;0;0;1;376;8600;;50;BK29092M_3_8600
BK29806M;3;0;0;1;360;7000;;50;BK29806M_3_7000
BK29806M;3;0;0;1;360;7000;;50;BK29806M_3_7000
BK29807M;3;0;0;1;360;7000;;50;BK29807M_3_7000
BK29807M;3;0;0;1;360;7000;;50;BK29807M_3_7000
BK29943M;3;0;0;1;376;8600;;50;BK29943M_3_8600
BK30236M;3;0;0;1;376;8600;;50;BK30236M_3_8600
BK30900M;3;0;0;1;376;8600;;50;BK30900M_3_8600
BK33729M;3;0;0;1;344;7000;;50;BK33729M_3_7000
BK33730M;3;0;0;1;376;8600;;50;BK33730M_3_8600
BK33730M;3;0;0;1;376;8600;;50;BK33730M_3_8600
BK5725M;3;0;0;1;376;8600;;50;BK5725M_3_8600
BK5725M;3;0;0;1;376;8600;;50;BK5725M_3_8600
BK6410M;3;0;0;1;376;8600;;50;BK6410M_3_8600
BK6410M;3;0;0;1;376;8600;;50;BK6410M_3_8600
BK6420M;3;0;0;1;376;8600;;50;BK6420M_3_8600
BK6420M;3;0;0;1;376;8600;;50;BK6420M_3_8600
BK8811M;3;0;0;1;400;9500;;50;BK8811M_3_9500
BK9910M;3;0;0;1;344;7000;;50;BK9910M_3_7000
BK27078M;3;0;0;1;432;8000;;51;BK27078M_3_8000
BK28819M;3;0;0;1;440;8000;;51;BK28819M_3_8000
BK28819M;3;0;0;1;440;8000;;51;BK28819M_3_8000
BK30641M;3;0;0;1;432;8000;;51;BK30641M_3_8000
BK30641M;3;0;0;1;432;8000;;51;BK30641M_3_8000
BK34890M;3;0;0;1;432;8000;;51;BK34890M_3_8000
BK8769M;3;0;0;1;432;8000;;51;BK8769M_3_8000
BK9010M;3;0;0;1;344;7000;;51;BK9010M_3_7000
BK9910M;3;0;0;1;344;7000;;51;BK9910M_3_7000
BK25051M;3;0;0;1;368;8000;;51;BK25051M_3_8000
BK27393M;3;0;0;1;384;7000;;52;BK27393M_3_7000
BK29472M;3;0;0;1;456;8000;;52;BK29472M_3_8000
BK31838M;3;0;0;1;384;7000;;52;BK31838M_3_7000
BK34351M;3;0;0;1;456;8000;;52;BK34351M_3_8000
BK34351M;3;0;0;1;456;6500;;52;BK34351M_3_6500
BK6010M;3;0;0;1;456;8000;;52;BK6010M_3_8000
BK9920M;3;0;0;1;344;7000;;52;BK9920M_3_7000
BK31838M;3;0;0;1;384;7000;;52;BK31838M_3_7000
BK25234M;3;0;0;1;376;7200;;53;BK25234M_3_7200
BK25312M;3;0;0;1;440;8000;;53;BK25312M_3_8000
BK25632M;3;0;0;1;376;7500;;55;BK25632M_3_7500
BK27075M;3;0;0;1;528;8500;;55;BK27075M_3_8500
BK27893M;3;0;0;1;344;7700;;55;BK27893M_3_7700
BK28233M;3;0;0;1;456;8000;;55;BK28233M_3_8000
BK4152M;3;0;0;1;456;9000;;55;BK4152M_3_9000
BK4152M;3;0;0;1;456;9000;;55;BK4152M_3_9000
BK4153M;3;0;0;1;456;9000;;55;BK4153M_3_9000
BK4153M;3;0;0;1;456;9000;;55;BK4153M_3_9000
BK4155M;3;0;0;1;456;9000;;55;BK4155M_3_9000
BK4155M;3;0;0;1;456;9000;;55;BK4155M_3_9000
BK5840M;3;0;0;1;528;9000;;55;BK5840M_3_9000
BK5840M;3;0;0;1;528;9000;;55;BK5840M_3_9000
BK6711M;3;0;0;1;432;9000;;55;BK6711M_3_9000
BK6797M;3;0;0;1;528;8500;;55;BK6797M_3_8500
BK9429M;3;0;0;1;456;10000;;55;BK9429M_3_10000
BK27893M;3;0;0;1;344;7700;;55;BK27893M_3_7700
BK27893M;3;0;0;1;344;7700;;55;BK27893M_3_7700
BK32064M;3;0;0;1;344;7700;;55;BK32064M_3_7700
BK32064M;3;0;0;1;344;7700;;55;BK32064M_3_7700
BK32993M;3;0;0;1;344;7700;;55;BK32993M_3_7700
BK5720M;3;0;0;1;432;9000;;55;BK5720M_3_9000
BK5740M;3;0;0;1;432;9000;;55;BK5740M_3_9000
BK5845M;3;0;0;1;384;9000;;55;BK5845M_3_9000
BK6067M;3;0;0;1;528;9300;;55;BK6067M_3_9300
BK6711M;3;0;0;1;432;9000;;55;BK6711M_3_9000
BK8769M;3;0;0;1;432;8000;;55;BK8769M_3_8000
BK27563M;3;0;0;1;528;9000;;56;BK27563M_3_9000
BK35201M;3;0;0;1;528;9000;;56;BK35201M_3_9000
BK24708M;3;0;0;1;528;9300;;57;BK24708M_3_9300
BK24708M;3;0;0;1;528;9300;;57;BK24708M_3_9300
BK27182M;3;0;0;1;528;9000;;57;BK27182M_3_9000
BK27392M;3;0;0;1;384;7700;;57;BK27392M_3_7700
BK32116M;3;0;0;1;528;9300;;57;BK32116M_3_9300
BK32116M;3;0;0;1;528;9300;;57;BK32116M_3_9300
BK32718M;3;0;0;1;384;7700;;57;BK32718M_3_7700
BK33512M;3;0;0;1;344;7700;;57;BK33512M_3_7700
BK6067M;3;0;0;1;528;9300;;57;BK6067M_3_9300
BK8800M;3;0;0;1;376;7800;;57;BK8800M_3_7800
BK31839M;3;0;0;1;384;8000;;57;BK31839M_3_8000
BK31839M;3;0;0;1;384;7700;;57;BK31839M_3_7700
BK35553M;3;0;0;1;528;9300;;57;BK35553M_3_9300
BK25034M;3;0;0;1;456;10500;;58;BK25034M_3_10500
BK25034M;3;0;0;1;456;10500;;58;BK25034M_3_10500
BK5531M;3;0;0;1;456;10500;;58;BK5531M_3_10500
BK5825M;3;0;0;1;344;7700;;58;BK5825M_3_7700
BK6700M;3;0;0;1;456;11000;;58;BK6700M_3_11000
BK27073M;3;0;0;1;528;8500;;58;BK27073M_3_8500
BK27406M;3;0;0;1;376;7800;;58;BK27406M_3_7800
BK27406M;3;0;0;1;376;7800;;58;BK27406M_3_7800
BK27406M;3;0;0;1;376;7800;;58;BK27406M_3_7800
BK6797M;3;0;0;1;528;8500;;58;BK6797M_3_8500
BK25495M;3;0;0;1;456;9000;;59;BK25495M_3_9000
BK25495M;3;0;0;1;456;9000;;59;BK25495M_3_9000
BK4591M;3;0;0;1;456;9000;;59;BK4591M_3_9000
BK24536M;3;0;0;1;384;8800;;60;BK24536M_3_8800
BK25198M;3;0;0;1;432;9000;;60;BK25198M_3_9000
BK25512M;3;0;0;1;456;9000;;60;BK25512M_3_9000
BK25512M;3;0;0;1;456;9000;;60;BK25512M_3_9000
BK27276M;3;0;0;1;384;8800;;60;BK27276M_3_8800
BK27562M;3;0;0;1;416;8800;;60;BK27562M_3_8800
BK27562M;3;0;0;1;416;8800;;60;BK27562M_3_8800
BK32717M;3;0;0;1;384;8800;;60;BK32717M_3_8800
BK32896M;3;0;0;1;432;9000;;60;BK32896M_3_9000
BK32896M;3;0;0;1;432;9000;;60;BK32896M_3_9000
BK33513M;3;0;0;1;384;8800;;60;BK33513M_3_8800
BK33644M;3;0;0;1;384;8800;;60;BK33644M_3_8800
BK33724M;3;0;0;1;384;8800;;60;BK33724M_3_8800
BK33724M;3;0;0;1;384;8800;;60;BK33724M_3_8800
BK4233M;3;0;0;1;528;9300;;60;BK4233M_3_9300
BK4233M;3;0;0;1;528;9300;;60;BK4233M_3_9300
BK4234M;3;0;0;1;528;9300;;60;BK4234M_3_9300
BK4234M;3;0;0;1;528;9300;;60;BK4234M_3_9300
BK4234M;3;0;0;1;528;9300;;60;BK4234M_3_9300
BK4474M;3;0;0;1;456;9000;;60;BK4474M_3_9000
BK5820M;3;0;0;1;384;8800;;60;BK5820M_3_8800
BK5820M;3;0;0;1;384;8800;;60;BK5820M_3_8800
BK6711M;3;0;0;1;432;9000;;60;BK6711M_3_9000
BK7112M;3;0;0;1;416;8800;;60;BK7112M_3_8800
BK7112M;3;0;0;1;416;8800;;60;BK7112M_3_8800
BK7187M;3;0;0;1;432;9000;;60;BK7187M_3_9000
BK7187M;3;0;0;1;432;9000;;60;BK7187M_3_9000
BK9429M;3;0;0;1;456;11000;;60;BK9429M_3_11000
BK25612M;3;0;0;1;456;9000;;60;BK25612M_3_9000
BK6761M;3;0;0;1;384;8800;;60;BK6761M_3_8800
BK6761M;3;0;0;1;384;8800;;60;BK6761M_3_8800
BK5720M;3;0;0;1;432;9000;;61;BK5720M_3_9000
BK24502M;3;0;0;1;432;9000;;61;BK24502M_3_9000
BK33646M;3;0;0;1;432;9000;;61;BK33646M_3_9000
BK30978M;3;0;0;1;440;10000;;64;BK30978M_3_10000
BK25046M;3;0;0;1;384;9000;;65;BK25046M_3_9000
BK25630M;3;0;0;1;376;8600;;65;BK25630M_3_8600
BK28011M;3;0;0;1;456;10000;;66;BK28011M_3_10000
BK4157M;3;0;0;1;456;10000;;66;BK4157M_3_10000
BK4157M;3;0;0;1;456;10000;;66;BK4157M_3_10000
BK4158M;3;0;0;1;456;10000;;66;BK4158M_3_10000
BK4158M;3;0;0;1;456;10000;;66;BK4158M_3_10000
BK4160M;3;0;0;1;456;10000;;66;BK4160M_3_10000
BK4160M;3;0;0;1;456;10000;;66;BK4160M_3_10000
BK25334M;3;0;0;1;456;10500;;66;BK25334M_3_10500
BK32926M;3;0;0;1;456;10500;;66;BK32926M_3_10500
BK7988M;3;0;0;1;456;10500;;66;BK7988M_3_10500
BK5830M;3;0;0;1;440;10000;;70;BK5830M_3_10000
BK6700M;3;0;0;1;456;11000;;70;BK6700M_3_11000
BK9429M;3;0;0;1;456;11000;;70;BK9429M_3_11000
BK25531M;3;0;0;1;456;11000;;70;BK25531M_3_11000
BK27394M;3;0;0;1;456;11000;;70;BK27394M_3_11000
BK27394M;3;0;0;1;456;11000;;70;BK27394M_3_11000
BK32716M;3;0;0;1;456;11000;;70;BK32716M_3_11000
BK8344M;3;0;0;1;456;11000;;70;BK8344M_3_11000
BK8344M;3;0;0;1;456;11000;;70;BK8344M_3_11000
BK8344M;3;0;0;1;456;11000;;70;BK8344M_3_11000
